yr_built,bedrooms,bathrooms,sqft_living,waterfront,view,condition,grade,price
1963,4,2,1780,0,0,3,7,272000
1996,3,2.5,2240,0,0,3,8,390000
1971,4,2.5,3270,0,3,4,9,700000
2006,5,2.75,3110,0,0,3,9,635000
1929,4,1.5,1850,0,0,3,8,920000
1983,3,1.75,1570,0,0,4,7,500000
1942,2,1,750,0,0,3,6,263500
1967,4,2.25,2240,0,0,4,10,975000
2001,3,2.5,1870,0,0,3,8,575000
1987,4,2.5,2683,0,0,4,9,822000
1954,3,1,1490,0,0,3,7,300000
1999,4,2.5,2340,0,0,3,8,487600
1955,4,2,1700,0,0,3,7,500000
2014,2,2,1450,0,0,3,9,680000
2004,3,2.5,3310,0,2,3,9,419000
1949,4,1.75,1520,0,0,3,6,450000
1926,5,1.75,1260,0,0,3,7,650000
1964,3,1.75,1840,0,0,4,8,550000
1942,4,2,1750,0,1,4,6,330000
1932,4,1,1450,0,0,4,6,282510
2000,4,4,6330,0,2,3,13,2.39E+06
1983,2,2,1260,0,0,3,7,230000
1909,4,1.75,2100,0,0,3,8,750000
2002,4,2.5,2430,0,0,3,8,321000
1980,4,3.25,4250,0,3,5,10,2.20E+06
1958,4,2,1830,0,0,3,7,245000
1913,2,1,1310,0,0,3,6,510000
2004,4,3.25,3090,0,0,3,9,751000
1987,4,2.5,2560,0,0,4,9,675000
1967,3,1.75,1930,0,0,3,8,295000
1925,2,1,1460,0,0,2,7,312000
1988,3,3,3460,0,0,3,9,730000
2005,5,3.5,3290,0,0,3,9,762500
1910,3,1,820,0,0,3,6,150000
1954,3,1,1480,0,0,3,6,270000
1963,4,2,1420,0,0,4,7,400000
2002,3,2.5,2790,0,0,3,8,650000
1954,2,1.5,1390,0,0,4,8,530000
1954,3,1,950,0,0,4,7,248000
1949,4,3.5,3000,0,0,5,7,760000
1960,4,1,1280,0,0,3,7,199000
1960,2,1,870,0,0,3,7,240000
1945,3,1.5,1360,0,0,3,7,415000
1959,3,1,1000,0,0,3,7,228000
1992,4,2.5,2740,0,0,3,8,525000
1940,3,1.75,1560,0,0,4,7,399950
1988,4,2.5,2590,0,0,3,9,781000
2004,3,2.5,1850,0,0,3,9,827000
1968,5,2.25,2500,0,0,4,7,525000
2004,4,2.5,3280,0,0,3,7,671300
1919,2,1,670,0,0,3,5,175000
1963,5,2.75,2890,0,0,4,10,1.10E+06
1966,5,2.5,3000,0,0,3,8,800000
2002,4,2.5,1920,0,0,3,7,329950
1979,4,3.25,1960,0,0,3,7,445000
1979,3,1.75,2000,0,0,3,7,237000
1945,6,4,3600,0,0,3,9,1.11E+06
2006,4,2.5,2740,0,0,3,9,438900
1915,9,4.5,3650,0,0,3,8,1.28E+06
2005,4,2.5,2310,0,0,3,8,600000
2002,4,2.5,2095,0,0,3,9,670000
2004,2,2,1560,0,0,3,8,519000
1984,3,2.25,1880,0,0,3,8,320000
2005,2,1.5,840,0,0,3,7,270000
1998,3,2.5,2730,0,0,3,9,1.00E+06
1907,1,1,860,0,0,3,6,330000
1956,3,2,2320,0,0,3,7,657500
1967,3,1.75,1540,0,0,3,7,450000
1928,3,1,890,0,0,3,5,150000
2004,4,2.5,4290,0,0,3,10,792500
1978,3,2.5,1950,0,0,4,9,540000
1968,3,1,1010,0,0,4,7,229900
2003,4,2.5,2830,0,0,3,8,533000
1977,4,1.75,1500,0,0,4,7,239000
2000,3,2.5,3370,0,0,3,10,713900
1999,4,2.5,3160,0,0,3,9,427500
1955,3,1,1110,0,0,4,7,302000
1991,3,2.5,3830,0,0,3,11,1.15E+06
2006,3,2.5,3160,0,0,3,8,555000
1996,3,2.25,2100,0,0,3,7,495000
1953,3,1.5,2240,0,0,3,7,495000
1947,2,0.75,1060,1,2,5,6,340000
1983,4,2.25,2350,0,0,4,9,464950
1998,4,2.5,1940,0,0,3,8,320000
2009,1,1,1160,0,0,3,7,440000
1961,3,1.5,1840,0,0,5,8,686000
1976,4,1.75,2260,0,0,3,8,555000
1909,2,1,840,0,0,4,6,361500
1923,5,3,2830,0,0,3,9,1.24E+06
1966,4,1,1600,0,0,4,6,154950
1982,3,1.75,1370,0,0,3,7,247200
1984,3,2.25,1960,0,0,3,7,250000
1907,3,1.5,1470,0,0,4,7,590300
1960,5,2.75,2740,0,0,4,8,541125
2004,2,2.5,1090,0,0,3,7,310000
1976,4,2.75,2460,0,1,3,8,704111
1964,3,2.25,1820,0,0,4,7,277500
1954,4,2.75,1960,0,0,5,7,325000
1995,3,2.25,1760,0,0,3,7,289200
1908,1,1,720,0,0,4,6,185000
2007,4,3.5,3470,0,0,3,11,1.45E+06
1947,4,2,1370,0,0,2,7,420550
1968,4,2.25,2370,0,0,3,8,603000
1903,3,1,1390,0,0,3,7,345000
1928,3,2,1840,0,0,5,7,650000
1973,5,3,2790,0,3,5,7,589950
2007,2,2.25,1460,0,0,3,8,309950
1998,3,2.5,2620,0,0,4,9,775000
1918,4,1.5,2230,0,0,3,7,590000
1905,4,3,3250,0,0,3,8,863500
1943,3,1,1190,0,0,3,7,517500
1922,3,3,2090,0,0,5,7,700000
1956,3,2.5,2580,0,0,3,10,699000
2005,3,2.5,2100,0,0,3,7,350000
1987,4,2.5,3160,0,0,3,10,795000
1962,3,2.5,2090,0,0,3,7,543000
2001,3,2.5,1570,0,0,3,7,325000
1900,3,1,1020,0,0,3,7,337500
1955,2,1,1300,0,0,4,7,425000
1986,3,2.5,2110,0,0,3,9,780000
1948,2,1,1210,0,0,4,5,259000
1968,4,1.75,1990,0,0,4,8,524400
2003,3,2,1630,0,0,3,7,260000
1990,2,2,1384,0,0,3,7,273000
1997,4,2.5,3380,0,0,3,10,639900
2001,4,2.5,2480,0,0,3,10,420000
1957,3,1,1270,0,0,4,7,510500
1947,4,1,1010,0,0,3,6,290000
1944,3,1.75,1490,0,0,4,6,226000
1916,2,1,820,0,0,4,6,300000
1967,3,2,1810,0,0,3,7,407450
1965,4,2.25,3060,0,0,3,7,390000
1965,6,2.75,2980,0,4,3,8,1.06E+06
1991,3,2.5,3440,0,0,3,11,610000
1959,3,2.5,1820,0,0,3,7,239975
1987,3,2.5,2320,0,0,3,7,375000
2004,4,2.5,2620,0,0,3,9,742500
1956,4,1.75,2190,0,0,4,8,450000
1967,3,2.25,1780,0,0,3,8,300000
1975,3,1.75,2200,0,0,3,7,216600
1924,3,1.75,1600,0,0,3,7,525000
1954,4,2.25,2450,0,2,4,8,455000
1986,4,2.25,2680,0,0,3,8,390000
1982,3,1.75,1850,0,0,4,7,450000
1924,4,1,1740,0,0,3,7,382000
1987,3,2.25,1490,0,0,4,7,287000
1971,4,2,1960,0,3,2,8,460000
2009,3,2.25,1380,0,0,3,7,435000
1935,2,1,1510,0,0,3,8,575000
1906,3,1.5,1410,0,0,3,7,626700
1922,4,1.5,1440,0,0,3,7,352000
1951,3,1,920,0,0,4,7,650000
1962,3,1,1090,0,0,4,7,197000
1977,8,2.75,2790,0,0,3,7,340000
1968,3,2,1840,0,0,3,7,560000
1972,3,1.75,1340,0,0,3,7,354000
1999,4,2.5,2570,0,0,3,9,670000
2005,4,3.5,3010,0,0,3,9,769000
1940,4,2.5,2160,0,0,3,7,650000
1953,3,1.75,2140,0,0,3,7,650000
1970,4,1.75,2090,0,0,4,7,289950
1977,3,1.75,1810,0,0,4,7,300000
1962,4,1.75,1760,0,2,5,7,471000
1990,4,2.5,2500,0,0,3,9,639000
1952,2,1,930,0,2,3,7,287000
1992,4,2.5,3030,0,0,3,10,740000
1990,3,2,1460,0,0,4,7,499922
1986,4,2.5,2940,0,0,3,9,675000
2014,5,2.75,3360,0,0,3,9,738515
1956,3,1.75,2110,0,0,3,8,445000
1953,4,2.25,2740,0,2,5,10,1.04E+06
1917,2,1,1070,0,0,4,7,346000
1940,3,2,1680,0,0,3,7,450000
1975,4,2.5,2260,0,0,4,9,350000
1907,4,3.5,5860,0,0,5,10,2.40E+06
1977,4,2.25,2380,0,0,3,8,594950
2004,5,3,3320,0,0,3,9,1.70E+06
1984,2,1,1050,0,0,4,7,219000
2004,4,2.5,2070,0,0,3,7,450000
1992,4,2.25,1790,0,0,3,7,402000
1942,2,1,840,0,0,3,6,275000
1948,3,1.5,990,0,0,5,7,421500
1994,3,3,4120,0,2,3,9,560000
1966,3,1.75,1620,0,0,4,7,314000
1942,4,2,1340,0,0,4,7,287000
1925,4,1,1500,0,0,3,6,277000
1950,2,1,1300,0,0,3,7,337500
1999,4,2.75,3100,0,0,3,10,792000
1999,3,2.5,3380,0,0,3,8,435000
1977,4,2.5,2660,0,0,4,7,313100
1924,3,2.25,1700,0,0,3,7,575000
1972,4,2.5,1840,0,2,3,8,510000
1941,2,1,890,0,0,4,6,299950
1953,3,3,2800,0,0,3,9,1.03E+06
1957,4,1.75,2010,0,0,4,7,364000
1965,3,1,1380,0,0,5,7,335000
1954,3,1,1210,0,0,3,6,219950
1991,3,2,1280,0,0,3,7,215000
1979,4,2.5,4090,0,0,4,8,640000
1925,3,1,1580,0,0,3,7,535000
1973,4,2,1910,0,0,4,7,253000
1994,2,2.5,1740,0,2,3,8,650000
1930,3,2.25,1130,0,0,4,8,672000
1950,3,1.75,1970,0,3,4,8,606000
1981,3,2.25,1780,0,0,3,8,292000
1992,3,2,1670,0,0,3,8,289950
1968,4,1.5,1360,0,0,4,7,257500
1971,3,2.5,1840,0,0,3,7,380000
2010,3,1.75,1255,0,0,3,8,360000
1976,3,1.75,1840,0,0,4,7,269500
2005,4,2.5,2960,0,0,3,9,449000
1948,4,1.5,1430,0,0,3,7,375000
2002,5,4.75,5990,1,4,3,11,2.20E+06
1988,4,2.5,3480,0,0,3,11,810000
2005,5,3.25,4260,0,0,3,10,994000
1979,5,2.25,1820,0,0,4,7,275000
2008,2,1,1290,0,0,3,7,300000
2013,5,2.5,2130,0,0,3,7,380000
1957,3,2,1170,0,0,4,7,200000
2009,3,3.5,1730,0,0,3,9,635000
1939,2,1,880,0,0,3,6,280000
2002,3,2.5,2380,0,0,3,8,574000
1952,4,1,1330,0,0,3,6,1.05E+06
1988,3,2.25,1780,0,2,3,8,545000
1962,3,1.5,1220,0,0,4,7,271950
1959,5,1.75,2490,0,2,4,8,630000
1984,2,1,1180,0,0,3,7,400000
1998,4,2.5,2310,0,0,3,8,334000
1972,4,2,1440,0,0,4,7,332500
2007,2,1.5,1620,0,0,3,9,525000
1991,3,2.5,2620,0,0,3,8,408000
2003,4,2.5,3710,0,0,3,9,846450
1958,3,1.5,1040,0,0,4,7,411100
1999,5,3.25,3320,0,0,4,8,409124
1951,2,1.5,800,0,0,5,7,335950
1963,5,2.5,2040,0,0,4,7,480000
1957,2,1.75,1960,0,0,3,7,280000
1999,4,2.5,2670,0,0,3,8,668000
2010,4,2.5,2930,0,0,3,8,750000
1955,2,1,830,0,0,3,6,394475
1928,5,1.75,2290,0,0,3,7,848000
1907,3,1.5,2510,0,0,4,8,675000
1958,3,1,1280,0,0,4,6,175000
1952,4,1.5,1810,0,1,3,8,560000
1987,5,2.75,2080,0,0,3,8,538888
1991,4,1.75,1680,0,0,3,8,359000
2001,3,2.25,1660,0,0,3,7,300000
1989,3,2.5,1650,0,0,4,7,273000
2003,3,2.5,1420,0,0,3,9,670000
1984,4,2.25,2240,0,0,3,8,530000
1927,3,1.5,1230,0,0,3,7,625000
1954,3,1,1260,0,0,4,6,248000
1990,3,2.5,2060,0,0,3,8,533000
1991,4,3.5,3090,0,0,3,8,549950
1959,4,1.75,3220,0,0,4,8,485000
2001,3,2.5,2020,0,0,3,7,353500
1976,2,1.75,1910,0,0,3,9,435000
1951,3,1,1150,0,0,3,6,241000
1921,4,2.75,2730,0,0,3,8,885000
1906,6,3,2890,0,0,3,7,799200
1973,3,2.5,2280,0,0,4,8,760000
1922,2,1,1040,0,0,3,6,270000
1969,4,1.75,2440,0,0,4,9,675000
1977,3,2.5,1720,0,0,4,8,499000
1984,3,2.5,3430,0,0,3,10,1.20E+06
2005,4,2.5,2570,0,0,3,8,320000
2000,4,3.25,4360,0,0,3,10,890000
1978,4,2.75,2060,0,0,3,7,275000
1994,4,2.5,3020,0,0,4,10,490000
1906,3,2.5,2340,0,0,3,7,550000
1959,5,2,2400,0,0,5,7,390000
1968,3,2.25,1610,0,0,4,7,277000
1994,3,1.75,1090,0,0,3,7,236000
1975,3,1.75,1470,0,0,4,7,265953
1974,3,2.25,1670,0,0,4,8,545000
1991,3,2.5,1850,0,0,3,8,535000
1967,3,2.75,3940,0,4,5,9,1.45E+06
2003,4,3,2330,0,0,3,9,490000
1954,4,2.5,2020,0,0,4,6,319950
1960,3,1.5,1300,0,0,5,7,625000
1968,3,1,1180,0,0,4,7,248000
1966,3,1.75,1320,0,0,3,8,475000
1962,6,2.75,2520,0,0,4,7,410000
1909,3,2.5,1680,0,0,3,9,670000
1968,3,2.5,2000,0,0,3,7,430000
1954,2,1,1180,0,0,5,6,313000
1988,3,3.25,3330,0,0,3,9,950000
1902,2,2,1880,0,0,3,8,751750
2003,4,2.5,2990,0,0,3,9,760000
1969,3,1.75,1510,0,0,4,7,310650
1997,4,3,3110,0,0,3,8,367500
2001,4,2.5,2150,0,0,3,8,580000
1905,3,2.25,1900,0,0,3,8,580000
1987,4,2.5,2720,0,0,3,10,665000
1979,3,2.25,1560,0,0,4,7,239950
1998,4,2.5,1990,0,0,3,8,470000
1930,3,1.75,1740,0,0,5,8,733000
1962,4,2,2130,0,0,3,7,250000
1957,4,1.75,1510,0,0,5,7,402000
1999,5,3.5,2100,0,0,3,7,295000
1976,5,2.5,2344,0,0,4,8,355000
1968,3,1.5,1970,0,0,4,6,289000
1982,3,2.25,1470,0,2,3,7,376000
1926,2,1,940,0,0,3,7,212700
1983,3,1.75,1780,0,0,4,9,325000
2002,4,2.5,2230,0,0,3,7,415000
1981,3,2.5,3570,0,0,4,8,935000
1990,3,2.5,1920,0,0,3,7,372000
1957,3,1.5,1290,0,0,3,7,240000
1980,3,1.75,1880,0,0,5,7,334950
2005,4,2.5,2960,0,0,3,9,426500
1952,2,1.75,1840,0,2,3,8,430000
1967,3,1.5,1890,0,0,3,7,400000
1964,3,2.25,1820,0,0,4,7,455850
2003,4,3.5,4370,0,1,3,10,1.97E+06
1986,3,1.75,1530,0,0,3,7,400000
1954,3,1,1030,0,0,4,7,397500
2005,3,2.5,2000,0,0,3,8,755000
1962,5,1.5,1730,0,0,3,7,287000
1976,4,2.5,3620,0,0,3,9,480000
1995,3,2.5,2040,0,0,3,8,490000
1991,3,2.5,2640,0,0,3,8,365000
2005,3,2.5,1600,0,0,3,7,260000
1929,4,1,1480,0,0,4,7,505000
1922,2,1,700,0,0,3,7,260000
1922,2,1,700,0,0,3,7,430000
1993,4,2.5,3520,0,0,4,10,905000
1977,3,2,1650,0,0,4,8,440000
1950,4,1,1360,0,0,3,7,439500
1944,3,2,1350,0,0,5,6,270000
1998,3,2.5,1970,0,0,4,7,306500
2003,3,2,1470,0,0,3,8,380000
1969,4,1.75,1610,0,0,5,7,215000
1950,2,1,810,0,0,3,7,299900
1995,4,3.5,2820,0,0,3,10,1.45E+06
1942,3,1,1900,0,0,4,5,239950
1973,4,2.5,1830,0,0,4,8,494000
1963,4,1.5,1730,0,0,4,7,317500
1977,4,2.5,2110,0,0,4,7,670000
2004,3,2.5,3060,0,2,3,9,650000
1983,4,2.5,2620,0,0,3,8,852000
1983,2,1.5,1088,0,0,3,7,250000
1964,3,1.5,1400,0,0,4,7,264950
1942,2,2,1540,0,0,5,7,582500
1998,3,2.5,1540,0,0,3,7,384000
1926,3,1.5,2310,0,0,3,8,817000
1971,4,1.75,1730,0,0,4,7,320000
1977,4,2.25,2070,0,0,3,8,445800
1951,2,1,900,0,0,3,7,263300
1952,3,1,860,0,0,3,6,215000
1921,5,4,2980,0,0,3,7,842500
1921,5,4,2980,0,0,3,7,850000
1990,5,2.5,2740,0,0,3,7,386000
1996,4,2.5,1790,0,0,3,7,251100
1978,3,1.75,1750,0,0,3,7,435000
2000,4,4,3610,0,0,3,10,870000
1954,6,1,1430,0,0,3,7,800000
1968,3,1.75,1570,0,0,4,7,555000
1932,2,1,2280,0,0,3,7,280000
1916,3,1,940,0,0,3,6,356000
2004,4,2.5,2920,0,4,3,9,675000
1976,4,2.25,2260,0,0,3,9,605000
1908,5,2,2000,0,2,4,7,690500
2005,2,1.75,1440,0,0,3,8,437000
1966,5,2,2310,0,0,4,8,850000
1904,4,2.25,2300,0,0,4,7,350000
1926,2,2.25,1490,0,0,3,8,480000
1989,3,2.25,1830,0,0,3,8,379500
2012,5,4.5,4440,0,0,3,10,600000
1992,4,3.5,4970,0,3,4,11,1.44E+06
2007,2,1.5,1000,0,0,3,7,303000
1953,4,2.5,4940,0,4,3,9,800000
1906,2,2,1980,0,0,5,7,549000
1964,3,2.5,1560,0,0,3,7,324950
1948,2,1,870,0,0,3,6,170000
1969,3,1,840,0,0,5,6,178000
1958,3,1,1250,0,0,3,6,144000
1954,4,2.75,3120,0,2,4,9,1.58E+06
1932,2,1,750,0,0,3,6,258000
1950,3,1.75,710,0,0,4,6,345000
1965,3,1.75,2290,0,0,3,8,470000
1925,5,2.5,3750,1,4,3,10,2.90E+06
1969,3,1.5,980,0,0,5,7,350000
1972,2,1.75,1590,0,0,4,7,225500
1942,2,1,940,0,0,3,6,473000
1962,3,1.75,1750,0,0,3,7,279000
1948,3,1,1460,0,0,3,6,470000
1925,3,1.75,1540,0,0,4,6,565000
1952,3,2,2560,0,1,4,8,695000
1991,3,1.75,1660,0,0,4,7,315000
1993,3,2.5,1880,0,0,3,8,529000
1967,5,3.75,3500,0,0,3,8,750000
1993,3,2.25,1840,0,0,3,7,481500
1987,3,2,1060,0,0,3,7,211000
1973,3,2.25,1790,0,0,3,7,455000
1938,2,1,810,0,0,3,5,238950
2003,4,3.5,2600,0,0,3,8,722500
1973,4,2.5,3230,0,3,4,8,795000
1971,4,2.25,2240,0,0,3,8,327500
2006,4,3,3400,0,0,3,9,585000
1939,4,2,3140,0,1,3,7,775000
2001,4,2.5,2780,0,0,3,8,645000
1968,4,2.75,2320,0,0,3,8,445000
1987,3,1.75,1370,0,0,3,7,257950
1959,5,1.75,2230,0,0,3,7,375000
1994,3,2.5,1610,0,0,3,7,245000
1990,3,2.5,3410,0,0,3,11,725000
2005,4,2.5,2810,0,0,3,9,702000
1943,3,1.75,1850,0,0,3,6,330000
1912,3,1.5,1790,0,0,3,8,940000
1950,3,1,1150,0,0,4,7,354500
1914,4,2.75,2420,0,0,4,7,279950
1989,3,2.25,1580,0,0,4,7,284000
1959,5,2,1760,0,1,3,8,480000
1959,5,2,1760,0,1,3,8,647500
1993,3,2.5,2750,0,0,3,9,625000
1978,3,1,920,0,0,4,7,152000
1961,3,1,960,0,0,3,7,322000
1916,3,1.75,1120,0,0,4,7,445000
1907,3,1,1560,0,0,4,7,595000
1981,3,1,1380,0,0,3,7,165000
1990,4,2.5,1940,0,0,3,7,278500
1973,3,1.75,1810,0,0,3,8,517500
1954,2,1,1100,0,0,3,7,343566
1977,4,2.25,1980,0,0,3,7,286285
1959,4,1.5,1340,0,0,5,6,474905
1960,3,1.75,1680,0,0,4,7,550000
1993,4,2.5,2060,0,0,3,6,286000
1980,3,3.25,2620,0,0,4,8,900000
1985,3,2.25,1610,0,0,3,7,449950
1966,4,1.5,1490,0,0,3,7,259000
1969,3,2.25,1900,0,0,3,7,340000
1994,4,2.5,3440,0,0,3,9,785000
1910,2,1,1840,0,0,4,6,490000
1941,4,2,2330,0,0,4,7,344950
1905,3,2,2250,0,0,4,9,950000
1958,4,1.75,2000,0,4,4,7,810000
1976,2,2.5,3010,0,3,4,9,998160
1979,3,1.75,1680,0,0,3,8,377000
1984,3,2,1530,0,0,4,8,595000
1911,2,1,970,0,0,3,6,313300
1941,5,1.75,1550,0,0,4,7,360000
1979,3,1.75,1660,0,0,2,8,188000
1994,3,2.5,3680,0,0,3,9,755000
1917,5,3.5,3210,0,2,3,10,1.29E+06
1940,3,1,1480,0,0,3,6,455000
2005,5,3.5,3600,0,3,3,10,817500
2002,3,2.25,1700,0,0,3,8,550000
1978,3,1.75,1680,0,0,3,8,260000
1999,3,2,1550,0,0,3,7,320000
1999,3,3.25,3780,0,1,3,11,1.15E+06
1985,4,2.5,2360,0,0,3,7,362000
1997,3,2.5,1810,0,0,3,7,503500
2006,3,2.5,2290,0,0,3,9,653000
1991,4,2.75,3370,0,0,3,10,760000
1916,4,1.75,2090,0,0,4,7,775000
1955,4,3.75,2130,1,4,3,9,1.34E+06
1954,5,1.75,2060,0,0,4,7,417500
1969,3,1.5,1560,0,0,4,7,525000
1934,2,1,730,0,1,3,4,217000
1985,4,2.75,2910,0,0,3,8,525000
1976,4,2.25,2490,0,0,3,7,442500
1955,4,1.75,1710,0,0,4,7,525000
1967,4,1.75,1520,0,0,4,7,425500
1990,3,2.75,2930,0,2,3,8,710000
1991,4,3,3160,0,3,3,8,545000
1967,5,2.75,2910,0,0,4,8,410000
1980,3,2.25,1700,0,0,3,7,245000
1923,2,1,810,0,0,4,6,194900
2003,4,2.5,2000,0,0,3,7,284000
1936,2,1.75,1894,0,0,4,6,280000
1970,3,1.75,2080,0,0,3,6,280000
1943,4,2,1730,0,0,5,7,360000
1942,2,1,720,0,0,3,6,405000
2000,4,2.5,3560,0,0,3,10,865000
1955,4,2,1210,0,0,4,7,483300
1985,4,2.5,2130,0,0,4,8,355000
1990,3,2.25,1570,0,0,3,7,274950
1998,3,4.5,3950,0,3,3,11,1.93E+06
1989,3,3.25,3450,0,0,3,11,755000
2000,4,5.75,7220,0,4,3,12,1.94E+06
1979,3,1.75,1150,0,0,3,7,309212
1984,3,2.25,1500,0,0,3,7,219950
1920,3,2.5,1300,0,0,4,7,690000
1943,3,1.75,1290,0,0,3,6,250800
1994,3,2,2510,0,2,3,9,557500
1926,4,1.75,2320,0,0,5,8,941000
1936,6,4.75,5480,1,4,5,11,3.65E+06
1977,4,2.75,2030,0,0,4,7,305000
1949,4,1.5,2060,0,0,4,8,815000
1954,3,2.5,2920,0,4,4,9,1.02E+06
1928,4,3,3330,0,3,5,9,1.24E+06
1990,3,2.5,2110,0,0,3,9,535000
1949,3,1,1175,0,0,4,6,775000
1994,3,2,1590,0,0,3,7,255000
1947,2,1,1070,0,0,3,7,327000
1976,4,2,2720,0,3,3,8,560000
1998,4,3.5,2980,0,3,3,9,1.34E+06
1977,3,1.75,1160,0,0,4,7,199500
2004,4,2.5,3580,0,0,3,9,760000
1994,3,2.25,3020,0,2,3,8,439000
1961,4,2.25,2380,0,0,4,7,527000
1948,3,2.75,2270,0,0,4,6,199950
1988,3,2.25,1660,0,0,4,7,254000
1921,2,1,830,0,0,4,7,393000
1979,5,2.25,2480,0,0,4,8,585000
1923,2,2,1900,0,0,4,7,450000
2005,2,1.75,1670,0,0,3,9,565000
1986,5,2.25,2000,0,0,4,7,330000
1992,3,2,2320,0,0,3,9,870000
1966,4,2.5,1860,0,0,4,8,585000
1977,3,2.5,2110,0,3,3,9,500000
1979,3,2,1400,0,0,3,7,225000
1979,3,2,1400,0,0,3,7,295000
1976,3,2.75,2850,0,0,4,9,775000
1981,3,1,1370,0,0,3,7,280000
1923,3,2.5,2170,0,0,5,7,539000
1953,3,1.75,2570,0,2,4,8,567500
1960,4,2.25,1970,0,0,3,8,442500
1997,5,3.75,2980,0,0,3,8,598200
1955,4,2.5,2300,0,0,5,8,610000
2004,3,2.5,1990,0,0,3,8,544900
2001,4,2.5,2390,0,0,3,8,557500
1979,3,2.5,2160,0,1,3,7,532500
1985,4,3.25,3300,0,0,5,10,1.35E+06
1920,3,2,1840,0,0,3,7,750000
1983,3,2.5,2030,0,0,3,8,530000
2003,3,2.5,1400,0,0,3,7,346100
1977,4,2.25,2320,0,0,4,9,260000
1959,3,1.75,1410,0,0,5,7,365000
1983,3,2,1860,0,0,4,7,615000
1994,4,2.5,1820,0,0,3,7,318400
1993,4,2.5,1910,0,0,3,8,498500
1971,3,1.75,1540,0,0,5,7,450000
1988,3,2,1430,0,0,4,7,200000
1968,3,1,1010,0,0,5,7,234000
1947,2,1,940,0,0,3,5,121800
1929,3,2.75,2600,0,2,5,8,805000
1963,4,2.25,2060,0,0,3,8,410000
1986,3,2.5,1920,0,0,3,8,475000
1986,4,2.5,2900,0,0,3,11,1.34E+06
1947,1,1,1020,0,0,3,7,269000
1979,4,2.25,2150,0,0,4,8,573000
2001,3,2.5,1660,0,0,3,7,330000
1944,4,1,1230,0,0,3,7,252750
2007,2,2.5,2170,0,0,3,8,745000
1991,3,2,1280,0,0,3,7,280000
1974,4,2.5,2240,0,0,5,8,535000
1953,4,1.5,1780,0,0,3,7,580000
1968,3,1.75,1840,0,0,4,7,301000
1968,4,1.75,1740,0,0,5,7,600000
2005,5,3,3040,0,0,3,9,538900
2006,3,2.5,2370,0,0,3,8,366000
2003,4,2.5,2100,0,0,3,8,303000
2007,3,2.25,1470,0,0,3,8,432000
1945,2,1.5,1300,0,0,3,6,300000
1939,3,3,3420,0,0,4,8,908800
1940,3,1.5,1190,0,0,3,7,500000
1959,5,2,2080,0,0,5,7,254000
1924,5,1.5,2180,0,0,4,7,470000
1967,3,2,1460,0,0,5,7,480000
1983,3,1.75,1530,0,0,4,7,536000
2006,4,3.5,4740,0,3,3,11,1.35E+06
1980,3,2.25,1980,0,0,4,8,550000
1976,3,1.75,1710,0,0,4,7,260000
2006,2,1.5,1160,0,0,3,7,284900
2002,3,2.5,2200,0,0,3,9,740000
1920,2,1,1170,0,0,4,7,425000
1965,3,1,1120,0,0,3,7,230000
1926,3,1.5,1710,0,0,3,8,675000
1986,3,1.75,1650,0,0,3,7,267500
1952,4,2.5,2840,0,2,5,8,814000
1989,4,3,3310,0,0,3,9,1.25E+06
1985,3,2,1860,0,0,3,7,460000
1994,3,2.5,2250,0,0,3,8,445000
2004,3,2.5,2890,0,0,3,8,715000
1947,3,1.75,2120,0,0,3,7,425000
2009,4,2.5,2130,0,0,3,8,370000
1937,2,1.75,1170,0,0,4,6,302000
1956,4,1.75,2120,0,0,4,7,453000
1969,3,1.75,1280,0,0,4,7,290000
1988,4,2.5,3170,0,0,3,10,1.04E+06
1967,4,2.25,2260,0,0,4,9,925000
1993,3,1.75,2930,0,0,3,9,600000
1981,3,1.5,1060,0,2,4,7,354000
1978,4,1.75,1740,0,0,3,7,204950
2005,4,2.5,2990,0,0,3,8,675000
1986,4,3.25,3530,0,0,3,11,995000
1957,5,2,2960,0,0,4,7,800000
1996,3,2.5,1650,0,0,3,8,472500
1969,4,2.5,2720,0,0,3,8,549950
1925,3,1.75,1516,0,0,3,7,575575
2006,4,3.25,4386,0,0,3,10,545000
1963,3,2.25,2580,0,0,3,7,340000
1963,3,1,960,0,0,4,6,225000
1983,2,1.75,1460,0,0,3,7,299950
2001,4,3.5,3840,0,0,3,8,829900
2007,4,2.5,2090,0,0,3,7,340000
1975,4,2.25,2470,0,0,3,8,515000
1992,4,2.5,2090,0,0,4,8,601000
1994,3,2.5,2070,0,0,3,8,470000
1954,3,1,1650,0,0,4,7,371500
1980,3,1.75,1880,0,0,4,8,550000
1995,4,2.5,2060,0,0,3,8,242550
1961,3,1.5,1410,0,0,3,8,367500
1996,4,3.5,2770,0,0,3,8,359000
1984,3,2,1390,0,0,2,7,204900
1969,4,2.75,5440,0,0,2,9,850000
1985,3,1.5,1280,0,0,3,6,187000
1958,3,2.75,1720,0,0,4,7,326000
1958,3,2.75,1720,0,0,4,7,340000
1951,6,2.25,3040,0,0,3,8,330000
2001,4,3.5,3780,0,0,3,9,782000
1999,4,2.5,2670,0,0,3,8,612000
1964,3,2,1350,0,0,3,7,400000
1980,5,3.5,3490,0,4,3,9,941500
2004,2,1.5,870,0,0,3,8,313000
1929,4,2.25,2410,0,0,5,7,735000
